Smell word,In hoofdstuk?,Lexical category,Spelling variants,Olfactory Language Category,Valuation,Provenance,Definition,Attestation,
krentenbrood,,noun,,Smell source / object,,WNT,,"Uit de openstaande bakkersdeuren walmde den vollen reuk van verschgebakken krentebrood, vlaaien en confijten,   thiry, Hofken v. Ol. 107 [1910].",
kroedwusj,,noun,,Smell source / object,,Neuwswijzer workshop,"Limburgs. Een kroedwusj (ook wel geschreven als kroetwusj, kruudwis, kruitwis of kroedwösj), is een boeket van 7 (voorgeschreven) kruiden die volgens de overlevering in het graf van Maria gevonden werden. Daarom wordt de kroedwusj op 15 augustus (Maria ten Hemelopneming) gezegend. Het gebruik stamt uit de 17de eeuw. De kroedwusj wordt samengesteld uit 7 planten: (7=heilig getal, het getal van de volledigheid). Er bestaan vrij vaste regels voor:2 onheil afwerende planten zoals koninginnenkruid (ook wel leverkruid of donderkruid genoemd), wilde marjolein, huislook, koningskaars of toorts, Sint-Janskruid, wilgenroosje, klaproos,
2 helende planten zoals valeriaan, duizendblad, boerenwormkruid, echte kamille, tormentil, bijvoet, absintalsem, alsem, duizendblad, helmkruid, hertshooi, salie, smeerwortel of engelwortel,
2 broodgranen: de korenaren van rogge en tarwe,
1 boomvrucht: het groene blad van de walnoot. Dat blad dat bestaat uit 7 blaadjes. Er wordt beweerd dat de bliksem nooit in een notenboom inslaat.
Het boeket wordt bijeengebonden met liefst een blauw lint van zeven el lang.",,
kruiden,,noun,,Smell source / object,,"WNT
WNT
WNT
WNT",,"Op die rotsen … groeijen geurige kruiden, die het rundvee afweidt,   geel 31 [1838].",
kruiderij,,noun,,Smell source / object,,WNT,,"Dus wensche ik …, dat daar … Uw speceryenHof … Zal tarten al de reuk der Ooster-kruideryen,  v. westrem, in valentijn, O.-I. III, 1, 97 b [1705]  (fig. bedoeld).",
krulhond,,noun,,Smell source / object,,WNT,,"Dat die fijne reuk aan alle soort van Honden niet algemeen eene eigenschap is, maar alleen aan sommige geslachten, vooral aan de Brakken en Krulhonden”, berkhey, N.H. 5, 351 [1805]",
kummel,,noun,,Smell source / object,,WNT,,"Eigenlijk de benaming van eene plant die aan de Middellandsche zee groeit, den Komijn, Cuminum Cyminum, en haar als kruiderij gebruikte voortbrengselen; vervolgens ook toegepast op de inheemsche Karwij, Carum Carvi, waarvan reuk en smaak overeenkomst hebben met die van den Komijn, en waarvan de voortbrengselen ook als kruiderij dienen. ",
kwendel,,noun,citroenkwendel,Smell source / object,,WNT,thijm,"”Daar zijn ook nog verscheide veranderingen van, als … met een aangenaame reuk als citroen, Citroen- of Limoen-kwendel genoemt”, chomel 1688 a [1770])",
laurierkers,,noun,,Smell source / object,,WNT,"enaming voor een in Zuid-Europa en Voor-Azië thuishoorenden, maar ook wel hier te lande gekweekten heester met bladeren die op laurierbladeren en vruchten die op kersen gelijken, Prunus Lauro-Cerasus; ook kerslaurier geheeten.","Laurierkersbladen. De versche bladen van Prunus Lauro-Cerasus L., volwassen en in den herfst verzameld. … Gekneusd, verspreiden zij den reuk van laurierkersolie”, Ned. Pharmacop.³ 100)",
lekkernij,,noun,,Smell source / object,,WNT,In ongemeenen stijl gebezigd voor hetgeen 't gehoor of den reuk aangenaam aandoet. ,"Brandende wierook ende lekkerny van reukwerk,   1, 331.",
lichaam,,noun,,Smell source / object,,WNT,,"Bekend is is het, dat sommige lichamen riekend, reukgevend, andere daarentegen reukeloos zijn, Lubach, Natuurk. Mensch 208 [1882].; ",
lijk,,noun,,Smell source / object,,WNT,,"Het Lyk … wierd in een Linggoa Kist, van binnen met linnen … bekleed (dog om den sterken reuktoegeschroefd) in 't midden der zaal op een tafel geset,   valentijn, O.-I. II, 2, 269 a [1724].",
limoenkruid,,noun,citroenkruid,Smell source / object,,WNT,,"Citroenkruid, Artemisia Abrotanum (”De Bladen … hebben een sterken, Kruiderigen niet onaangenaamen Reuk, inzonderheid wanneer men een Takje door de Handen haalt, en dan aan dezelven een poos beklyvende: weshalve men het gemeenlyk Limoenkruidtytelt”, houttuyn, Nat. Hist. II, 6, 49 [1776]; ”Zie die roozen, dat limoenkruid, dien jasmyn” enz., wolff en deken, Leev. 4, 260 [1784])",
loddereindoos,,noun,loddereindoaske,Smell source / object,,WNT; Friesch WDB,"zilveren doosje, waarin een spons met reukwater doortrokken","De benauwdheid was stikkende, de reuk iets minder dan aangenaam, de Eau de la Reine doosjes gingen rond, en de zusters werden, bij halve dozijnen te gelijk, … ter kerk uitgedragen”, de w. v. zon, Steenb. Fam. 3, 59; ”Nuffen, malle meiden, Die ginnegapten toen ik haar Mijn loddereindoos bood”, v. zeggelen 1, 88 [1841]; ”Een ”lodereindoosje” van haarzelve”, beets, C.O. 171 [1840]); Friesch WDB: De kape komt uwt it kamenet, de boegel op side, in it loadereins doaske yn de boesse. a. meeter, Bijek., 37, [1849].; Baes sîn wiif hie allang op Fedde gjin goed each hawn, en foaral net sint dat Fedde foar in jier hjar ris in silveren loddereindoaske forkeape hie. t.g. v.d. meulen, fen, 72, [1860].",
loddereinfles,,noun,loddereinfleske,Smell source / object,,WNT; Friesch WDB,zakflacon voor reukwater,"Haar wayer, snuifdoosje, of Eau de la Reine-flesje”, v. effen, Spect. 7, 230 [1733]",
lood,,noun,,Smell source / object,,WNT,,"Heet gemaakt … openbaart het (het lood) eenen onaangenamen reuk,   Ned. Handelsmag. 712 b [1843].",
loogzout,,noun,,Smell source / object,,WNT,,"Naardien zodanig een onaangenaame reuk alleenlyk is eene uitdryving van het vlugge Loogzout der Ammoniacale Zouten van het Vlees, door het daar by gevoegde vaste Loogzout,   Verh. Holl. Maatsch. Weet. 16, 2, 95 [1776].",
look,,noun,,Smell source / object,,WNT,"Look is bekend om zijn eigenaardigen sterken reuk; Dat men over het look (wegens zijn onaangenamen reuk?) vaak ongunstig denkt, blijkt ook uit achterstaande plaats, en uit de, reedsin 't Mnl. voorkomende en in Z.-Nederl. nog bekende zegsw. er is look in de meersch, er is hier iets niet in orde, en: er zijn hier menschen die het niet mogen hooren, ”er is te veel dak op het huis”. ","Hy rieckt na loock,   plant. [1573].; De wortel (van de roode biet) wort … gegeten, om den stanck vanden aessem …, ende den quaden reuck van 't Loock datmen geten heeft wech te nemen,   dodon. 1055 a [ed. 1608].; Soo verre als ghij den smaeck van Loock begeert te hebben, sonder daer eenen stercken aessem van te behouden, soo ghebruyct den Edick daer Loock in geweyct heeft,   1157 a.; De vijzel rijckt altijds naer loock, En laet zeer spae dien reuck of roock,   de brune, Spreeckw. 254 [1636].; De bovenste randen van 't melckvat besmeeren zy rondsom met loock. Desen reuck jaegt de slangen wech,   erasmus, Coll. Fam. 118 b.; Het geslacht Allium (Ui of Look) omvat 6 soorten, die zich alle door den bijzonderen welbekenden reuk … onderscheiden,   oudemans, Flora² 3, 186.; Neen, uwen appel ick weerleggh' En uwe roosen ick ontseggh' O ghy Cydipp' en Venus oock: Want sy en zijn niet sonder loock. Maer op die rooskens slaen ick acht Die Dorothea zijn ghebracht … Te midden uyt het Paradijs,   de harduyn, Godd. Wensch. 409.",
Look-zonder-look,,noun,,Smell source / object,,WNT,,"Look-zonder-look, benaming voor een plant uit de familie der Cruciferae, t.w. Alliaria officinalis, zoo geheeten omdat ze door haar reuk aan het onder 1) genoemde look of knoflook deed denken maar niet, zooals dit, bolletjes bezit. ",
luchthond,,noun,luchtrekel,Smell source / object,,WNT,"Luchthond, hond die op den reuk het spoor van het wild volgt (”Moet oock ghelet werden, dat de Locht-honden (chiens de la meute) den voet volghen soo van 'tHert, als van de Ley-Honden (Limiers) sonder nochtans die te genaecken op 'tsestigh stappen”, merula, Wildern. 2, 101 [1605])",,
Luciënhout,,noun,luciehout,Smell source / object,,WNT,"Luciënhout (fr. bois de Sainte Lucie). Onder dezen naam komt het hout van twee boomsoorten voor, namelijk 1) van eenen welriekenden kersenboom, die Mahaleb … genaamd wordt … Het hout moet hard, tamelijk zwaar, graauwachtig rood van kleur, en met eene dunne bruine schors … bekleed zijn. Versch, heeft het een' onaangenamen reuk; maar hoe meer het droogt, des te welriekender wordt het. Daarom wordt het tot velerlei schrijnwerkers- en draaijers-arbeid … verwerkt. 2) van den vogelkersenboom of wilde syringe (lat. prunus padus). Het hout is wit of geelachtig, middelmatig hard, heeft aanvankelijk eenen zeer onaangenamen reuk …, die echter als de boom ouder wordt, verdwijnt. Het hout wordt insgelijks tot allerlei schrijnwerkers- of draaijerswerken gebezigd. Beter nog is echter het luciënhout van den altijd groenen noord-amerikaanschen vogelkersenboom (lat. prunus padus carolina). … In kleur gelijkt het hout naar het maghonie, en de daaruit vervaardigde meubelen verkrijgen met den tijd een steeds fraaijer aanzigt,   Ned. Handelsmag. 721 [1843].",,
lukke,,noun,,Smell source / object,,WNT,"Dun wafeltje, uit bloem, boter en suiker gebakken, en veel alsnieuwjaarsgift geschonken.","De kleeren waren doortrokken nog met den reuk van wafels, koekedeeg en lukken,   stijn streuvels, Minneh. 1, 68 [1903].",
lupine,,noun,,Smell source / object,,WNT,,"O de weeë, zoete reuk der gele lupinen. Ik ben totaal neer. Het lijkt mij of ik nooit meer op kan leven,   v. eeden, Dagb. 2, 189 [1891].",
maggi,,noun,,Smell source / object,,WNT,"Ben., hetzij als merknaam of als soortnaam, voor smaakaroma's op basis van groenten en vleeschextracten, zoowel in vloeibaren vorm als in tabletten gebruikt bij de bereiding van o.m. soepen, sausen e.d. ","Maggiwortel - Engelwortel. De olie die eruit wordt gehaald komt uitstekend van pas als smaak- en reukmiddel b.v. in de confituur-, parfum- en likeurindustrie. Maggiwortel. Daarvan kan ongeveer hetzelfde worden gezegd. In soepkruiden wordt het blad gebruikt,   Zaanlander 21 Jan. 1966.",
magnolia,,noun,,Smell source / object,,WNT,,"De bladerlooze magnolia's openden haar witte kroon in de tuinen en de lauwe lucht was doortrokken met geuren van wellust,   de vos, Vl. Jong. 91 [1881].",
melk,,noun,,Smell source / object,,WNT,,"Waar men dit voedsel aan melkvee verstrekte …, deelde men ons mede, geen nadeeligen invloed op reuk en smaak der melk te hebben waargenomen,   Versl. Landb. 1915, 4, 84.",
mensenvlees,,noun,,Smell source / object,,WNT,,"De opstijgende reuk van gezengd haar en verbrand menschenvleesch (t.w. op een slagveld) wekte walging en afschuw,   bosscha, Lev. v. W. II 88 [1852].; Verneemt men niet den reuk, en rook, Van 't vuur, daar 't mensche-vleesch gebraden In puft, en snerkt, met stank, en smook?   oudaan, Poëzy 1, 86.",
mensenvlees,,noun,,Smell source / object,,WNT,,"Verneemt men niet den reuk, en rook, Van 't vuur, daar 't mensche-vleesch gebraden In puft, en snerkt, met stank en smook?   oudaan, Poëzy 1, 86.",
merg,,noun,,Smell source / object,,WNT,,"De reuk van het flesje was niets anders, dan merg van beenderen, en ander vet, met de voorgaande vogtigheid allengskens uitsypelende,   bij v. heurn, 's Hertogenb. 3, 129 [1663].",
mesthoop,,noun,"misthôop , mishôop , mishupke ",Smell source / object,,"WNT;  Sterenborg, W. en E. Schilders (2014), Woordenboek van de Tilburgse Taal (WTT),",,"Niemand mag tegens 't Erf van zyn Gebuur noch tegens een gemeenen Muur eenige Regenbakken, Privaaten, Bak-Ovens of diergelyke dingen, daar van Stank, Brand, Vuyligheyd of Nattigheyd zoude mogen komen, maaken of stellen,   Keuren v. Haerlem 1, 208 a [1708].
Het lommer van den platanus, de kaalheid van den wilg; de geur van het heester-gebloemte, de stank van den mesthoop! geel 231 [1835].; Elie van Schilt - Aachter in onze tuin, laag net as bij iederéén de misthòòp, daor laag van alles, de mist uit de konijnehokken, èèrpelschellen, afval van gruunte, sjuust en ok dieje misthòòp had ok zunnen eigen stank. Stonk ie te hard, dan wieren er un paor schoepen zaand overgegooid en dan stonk allèèn de zijkaant nog. Piet van Beers – ‘Herfst 1982’: As ge bij de strontboer, unne misthôop besteld hèt. (Brabants Bont 1; z.j., ca. 2005); mishôop; mesthoop; Henk van Rijen – mesthoop, rommeltje troep; 'mishoop'; Kees en Bart (ca. 1925; in Tilburgsche Post) – 'mishoop' = vuilnisbelt; ANTW. MISHOOP, MESHOOP zelfstandig naamwoord m. - mesthoop, Fr. tas de fumier; mishupke; verkleinde vorm; WBD (Hasselt) mesthoopje (op het land)",
mestput,,noun,misput,Smell source / object,,WNT,,"De rijckdommen slachten de mis-put, die stanck en quade dampen geeft, wanneer hy lange op een ghetast, van de zonne beschenen wert; en die de landen blijde en vet maeckt, als hy daer op gespreyt en verdeelt wert,   de brune, Bank. 1, 249 [1657].",
mirre,,noun,,Smell source / object,,WNT,"Eene bekende hars, ”het myrrhe, dat door Balsamodendron Myrrha opgeleverd wordt” (oudemans, Leerb. 2, 571; deze behoort tot de familie der Terebinthaceae). ","Schaeltjes … met allerhande welriekende kruideryen, inzonderheit van Mirre, gevult,   de bruyn, Reizen 2, 230 b [1714].; Men (zal) … 't huys (waarin iemand ziek heeft gelegen aan de pest) twee of driemaal daags berooken met geneverbessen, myrrha,bakelaar enz.,   Utr. Placaatb. 3, 522 b [1636].; Ick hebbe mijn leger met myrrhe, aloë, ende caneel welrieckende gemaeckt,   Statenb., Spr. 7, 17 [ed. 1688].",
mirrekruid,,noun,Myrrhekruid,Smell source / object,,WNT,"benaming voor de doorbladerige veldeppe, wegens den reuk van mirre dien zij heeft; Smyrnium perfoliatum (chomel, Verv. 6361 b [1793]). ","Myrren-olie, ende … specerijen, ende … andere vercierselen der vrouwen,   Statenb., Esther 2, 12 [ed. 1688].",
mirteboom,,noun,,Smell source / object,,WNT,,"Deeze Boomen (t.w. mirteboomen) zijn … weegens haar zeer vermakelijk groen, aangename reuk, en lieflijke teederheyd, geoordeeld, veel meer tot het Vrouwelijk Geslagt, dan der Mannen achtbaarheyd te behooren,   munting, Aardgewassen 144 [1696].",
mout,,noun,,Smell source / object,,WNT,,"Het mout dient mede goed van reuk te zijn … en ook met geen groene uitslag vervuld te weezen,   Kab. v. Kooph. 2, 109 [1786].",
muskus,,noun,"Muscus, Musck, musckeliaet, moschus, musscq, musk",Smell source / object,,WNT,,"Alleen die Muskus, welke in den handel als Tonkineesche wordt aangeduid, en die uit Tibet afkomstig is, mag gebruikt worden,   Ned. Pharmacop. 260.; De Siberische muscus is minder gezocht dan die van Tibet of Indië,   burgersdijk, Dieren 1, 351 [1864].; Als de muscus versch is, maakt hij eene zalfachtige massa uit en later wordt hij korrelig; de kleur is donkerbruin,   burgersdijk, Dieren 1, 351 [1864]. Den reuck der bloemen …, Suter dan balsem … Dan Styrax, Musk', oft Ambre grijs,   v. d. noot 78. D'ambre en t'musscq d'welck ghy aen u gewaden hingt, Numann, Sp. d. Mensch. 94. De geur van de musk en sivet,   hooft, Mengelw. 426.; Hoe een Greintje Muskus, bewaart zynde onder etlyke Ponden Styfsel-poeder, aen 't zelve een sterke reuk kan byzetten, … terwyl aen den Muskus geen verlies van gewigt te vermerken is,   in v. ranouw, Kab. 8, 3, 12 [1727].",
muskusbal,,noun,,Smell source / object,,WNT,,"D'essence, muskestal, en reukzalf, om te smeeren, Kan al de hoeken van de schouplaats parfumeeren,   rotgans, Poëzy 659.",
naantjeskers,,noun,Naenkens Kersekens,Smell source / object,,WNT,,"”Daar zyn ook (kerseboomen) met zogenaamde Dubbelde … Bloemen, die men om 't sieraad en den Reuk nahoudt, vallende laager van Gewas en daarom genaamd Naantjes-Kersen”, houttuyn, Nat. Hist. II, 2, 565 ",
nafta,,noun,naphta,Smell source / object,,WNT,"Benaming van sommige zeer vluchtige en zeer brandbare stoffen, o.a. van sommige dunne, heldere soorten van petroleum zooals b.v. uit de streken der Kaspische Zee komen. Naast naphtha is in het dagelijksch leven ook bekend het woord naphthaline, een stof die voorkomt in witte kristallijne plaatjes, van eigenaardigen reuk.",Men gebruikt soms naphthaline in plaats van kamfer om de motten uit het bont te houden.   poëem WNT,
nagelbast,,noun,,Smell source / object,,WNT,"ook nagelhout, nagelkassie, benamingen voor den bast van een boom in West-Indië, waarvan de reuk en smaak die van de kruidnagelen nabij komt; Cassia caryophyllata (chomel 355 a [1768]).","De Wieroock …, De Mirrhe …, Musc, Ambre, scharp Civet, Hooft, Ged. 2, 169 [1605]. De hantschoen rieckt van musk, Vondel 7, 622 [1657]. Zoo leuyheyd een goeden reuck hadde, men vond kloosters van enkel muscus en civette,  De brune, Bank. 2, 250 [1658]; De muscus off cevet, die sommighe (der inboorlingen) aen den hals dragen, V. riebeeck, Dagverh. 1, 304 [1654].; 2 Kasjes Besarstenen, Muscus, Ambregris, Holl. Merc. 1653, 94 b [1659].; 280 catty Tonquinse Muscus, 1671, 74.; Dat u nu muskus lykt, zal flus slimmer stinken als traan, v. halmael 4ᴣ, 24.; De muscus die in Holland verkogt wordt, brengt men uit Tunquin, uit Bengalen, ook wel uit Muscovie, Chomel 2219 b [1771].; Over eenige jaaren … gebruikte men tot verveelens toe de muscus in allerlei dranken, smeeringen en clijsteeren. Thans wordt ze nauwlijks meer voorgeschreeven, en dient alleen om eenige reuk-werken, een weinig aan te zetten, Chomel 2219 b [1771].; Een ontzenuwend parfum van musc en opoponax, Couperus, E. Vere 2, 102 [1889].",
nardus,,noun,,Smell source / object,,WNT,"Naam van een gewas, bekend in het Oosten, en van de kostbare geurstof die het oplevert; inzonderheid bij ons bekend door een paar bijbelplaatsen. ","Een reuk van myrrhe …, Een wolk van cassia en nardus,   ten kate, Par. Verl. 121 [1878].",
okselzweet,,noun,,Smell source / object,,WNT,,"Doen docht hy … Ick hebbet al noch met dit rocxken te heet En heeft hem van dit pandeken quijte ghemaect: Hy en wilde niet riecken naer zyn ocxel zweet,   de dene, Fab. 83 [1567].; De eigenaardige reuk, die soms de huiduitwaseming aanneemt, na het gebruik van sommige stoffen, en de belangrijke, nadeelige gevolgen, die onderdrukt, stinkend en tot eene gewoonte geworden voet- en oksel-zweet kan na zich slepen,   persille, Alg. Geneesl. 162 [1855].",
ontlasting,,noun,,Smell source / object,,WNT,,"De ontlastingen hebben eenen vuilaardigen reuk (bij zekere hondenziekte),   thon, Honden 82 [vert. 1833].",
opoponax,,noun,,Smell source / object,,WNT,,"""Een ontzenuwend parfum van musc en opoponax, Couperus, E. Vere 2, 102 [1889].",
ozon,,noun,,Smell source / object,,WNT,,"De electriciteit oefent … op de zuurstof eene werking uit, waarvan de eigenlijke aard nog weinig bekend is, doch die hierin schijnt te bestaan, dat de zuurstof eene verhoogde verbindingskracht verkrijgt. Deze gewijzigde zuurstof is te onderkennen aan een eigenen reuk, die overeenkomst heeft met dien van phosphorus; om dezen reuk wordt de veranderde zuurstof ozon genoemd,   bosscha § 742.",
paard,,noun,,Smell source / object,,WNT,,,
palmolie,,noun,,Smell source / object,,WNT,,"Sy hebben stercken reuck, seer crachtich nae de Olie de Palma, daer sy haer gestadich mede smeeren,  O.-I. e. W.-I. Voyag. 5, 12 d [1602].",
papier,,noun,brandend papier,Smell source / object,,WNT,,"Het kruyt van frissche jeugt, Doet van onder groote deugt, Beter als na stadts manier, Doet het out vermuft papier,  Cats 1, 433 b [1629]; Dat alle de oude Chartres en Papieren deser Stadt aan hem sijn toevertrouwt en overgegeven geweest, om deselve, waar van veele door ouderdom vermuft ende beswaarlyck te leesen waren, af te schryven, Schrassert, Beschr. v. Harderw. * 3 r° [1730].; De dampen van … brandend grauw papier, V. Andel, Volksgeneesk. 224 [1909].; De vonken van 't pampier (vlogen) door de camer, gevende een quade reuk, Bontemantel, Reg. v. Amst. 2, 16.",
paradijs,,noun,,Smell source / object,,WNT,,,
paradijsboom,,noun,,Smell source / object,,WNT,"1°. de boom der kennis des goeds en des kwaads, in het midden van het paradijs, waarvan het eerste menschenpaar niet mocht eten. 2°. Soms in toepassing op den boom die het paradijshout levert, aloë. Vandaar: Paradijsboomvrucht. 3°. Benaming van een heester, uitmakende eene soort van het geslacht Olijfwilg, lat. Elaeagnus angustifolia.","De Spanjaarden, in Kastilie en Granada, (tytelen) hem Arbol Parayso, dat is Paradysboom …; waarschynlyk … wegens den Reuk,   houttuyn, Nat. Hist. II, 4, 158 [1775].",
pastille,,noun,,Smell source / object,,WNT,"Een klein rolletje of balletje van reukwerk, bestemd om aangestoken te worden en al brandende geur te verspreiden.  ","Sommige laaten zich van 't hoofd tot de voeten met uitnemende Pastilles berooken, en gene wederom besproeyen met orangebloessemswater,   Verreez. Hippolyt. 141.
Hij had rozenolie, juweelen, opium en pastilles aan Poolsche joden verkocht,   beets, C.O. 125 [1838].; Slechts een enkele luxe veroorloofde hij zich, het branden van pastiljes,   schotel, Oud.-Holl. Huisg. 342.; Pastilles, reukballetjes, reukkaarsen,   c. de jong, Handwdb. 368 a [1869].",
pek,,noun,pik,Smell source / object,,WNT,,"Pik riekt eenigszins naar houtteer en is nagenoeg smaakloos,   Ned. Pharmacop.ᬳ (ed. 1915) 353.; Bovenop de ladderige trap bleef Jaapje wachten en keek naar de boel in de laagte; het rook naar pik (in een magazijn van scheepsartikelen),   v. looy, Jaapje 215 [1917].",
pepermunt,,noun,peper-munt,Smell source / object,,WNT,(Mentha Piperita),"De Reuk van 't versche Kruid, zo wel als van 't gedroogde, is Kruiderig, gelyk die der gemeene Munte, de Smaak als van Peper, maar schielyk overgaande in een Salpetigen Smaak, met aandoening als van Koude op de Tong,   houttuyn, Nat. Hist. II, 9, 324 [1778].",
pestadem,,noun,,Smell source / object,,WNT, pestachtige uitademing; ook fig.: verpestende invloed.,,
peterolie,,noun,"petrolie, aardolie, steenolie, petroleum",Smell source / object,,WNT,"Een in aardlagen voorkomend vloeibaar mengsel van onderscheidene vluchtige koolwaterstoffen; steenolie, aardolie. Reeds in de oudheid bekend en sedert voor verschillende doeleinden gebruikt in min of meer gezuiverden toestand. Toen in de tweede helft der 19de E. deze olie in betere bereiding onder den naam petroleum een belangrijk handelsartikel werd is onder het volk de oude benaming peterolie opnieuw in gebruik gekomen","Een lugtige reuk, byna als die van Petroly, Steen- of Aard-oly, dog op verre na zoo sterk niet,   berkhey, N.H. 1, 313 [1769].",
Pimpernel,,noun,,Smell source / object,,WNT,"plantengeslacht Pimpinella, De gewone pimpernel heeft geurige bladeren en wordt vanouds bij wijze van salade of als toekruid bij salade en voor het kruiden van wijn gebruikt. ",eigenaardige reuk van de pimpernel (v. daleᬳ),
pis,,noun,pisse,Smell source / object,,WNT,"Urine, het water dat menschen en dieren loozen; een afscheidingsproduct der nieren, waarin voor het lichaam niet meer bruikbare stoffen zijn opgelost. Pis heeft meestal een eigenaardigen reuk. ","De Pis is raauw, zonder reuk en smaak als wij veel water gedronken hebben, en als dan konnen wij haar best en langst houden. Die … langzaam bewerkt en afgescheiden is van de Nieren, is gekoleurd citroengeel …, zoutagtig en een weinig stinkende,   chomel 2704 b [1773].; De onder rock stonck vande pis ghelijck een pry,   v. santen, Snapp. Siitgen 8.; Waar de honden pis ruiken, daar ligten zy 't been op,   j. zoet, Digtk. Werken 23 b.; De Pis der Dieren … is een helder, geelagtig riekend Vogt; 't welk van dien aart is, dat het, … stilstaande, een stinkenden reuk van zig geeft en doorgaans vergezeld gaat van eene verandering van koleur met eene daarop volgende scheiding of verdikking,   berkhey, N.H. 3, 168 [1772].; De verdikte Pis laat zig ook met een vast Alkalyn ter overhaalinge vermengen; en als men dezelve met leevende Kalk vermengt, ontstaat 'er duidelyk een waassem van een sterken reuk,   berkhey, N.H. 3, 168 [1772].",
pismier,,noun,"pismarooi, pisoamer, pishoamer",Smell source / object,,WNT,"Gewestelijke benaming voor de mier, die zoo geheeten wordt, omdat het insect een pisachtigen reuk afgeeft, of, naar het volksgeloof, de menschen bepist. ",,
pistache,,noun,Pistasjes,Smell source / object,,WNT,De vrucht of noot van den pistacheboom,"De uit het Oosten aangebragte pistasjes … zijn iets grooter dan de in Italië en de Provence voortgebragte, en onderscheiden zich van de zoete amandelen door meer olieachtige stoffe en meer zoetigheid, gepaard met aangenamer reuk,   Ned. Handelsmag. 967 b[1843].",
pokhout,,noun,Pokkenhout,Smell source / object,,WNT,"Hout van Guajacum officinale, den pokhoutboom (van de familie der Zygophyllaceæ), aldus genoemd toen men ervaren had dat het gebruikt kon worden als geneesmiddel tegen de Ambonsche (Spaansche) pokken ","Pokhout, een zeer harde en onsplijtbare houtsoort van donkergroenachtige kleur, eigenaardigen reuk en op 't gevoel vettig,   zwiers 2, 220 a [1920].",
pomade,,noun,,Smell source / object,,WNT,,"Dog laat ons hier van afzien; op dat wy, met het doorsnuffelen der Paruikwinkelen, niet beneveld worden, door den reuk der Pomade,  berkhey, N.H. 3, 693 [1773].; De voormalige kapper heel zwierig uitgedost en naar pommade riekende, V. lennep, K. Zev. 5, 158 [1865].",
pompelmoes,,noun,pempelmoes,Smell source / object,,WNT,e vrucht werd van Java in Britsch-Indië geïmporteerd,"Twee Pompelmoezen … Deze vrucht is van binnen root. Maer daer zyn ook andere soorten, die wit zyn, en weinigh korrels hebben. De reuk zweemt zeer naer de Chinaesappels, de smaek ook eenigszins,   de bruyn, Reizen 2, 365 b [1714].",
pot,,noun,,Smell source / object,,WNT,"De inhoud van den pot laat, ook nadat hij daaruit verdwenen is, vaak een bepaalde reuk er in achter, wat uitgedrukt wordt door het Lat. spreekw. quo semel est imbuta recens servabit odorem testa diu (horatius).","De Kinderen … zyn gelijck een nieuwen Pot, die den reuck altijdt behout welcken hy eerst ontfanght,   sprankhuisen 1, 100 b[1634].",
pot-pourri,,noun,potpourri,Smell source / object,,WNT,,"Zie hier mijn voorstel eens — het is een reedlijk plan. Vooreerst: Mijn lamp weêrom. Ik kan niet zien te lezen. ""Ten tweede?"" 't Orgel daar, dat eens zoo heerlijk klonk, De pijpen schoon gemaakt. Het schijnt verstopt te wezen. ""Voorts?"" De pot-pourri, zoo geurig lang voordezen, Nu zonder reuk of kracht, en ijdle kamerpronk, Vernieuwd, Bild. 13, 129 [1805].",
prei,,noun,porrei,Smell source / object,,WNT,"plantengeslacht Allium Porrum L., uit de familie der Liliaceae, afkomstig uit Spanje en Zwitserland en bij ons sinds eeuwen als groente gekweekt","De Porreij brengt uit een lange klijsteragtige gerokte wortel, veele lange, breedagtige, gekielde of goots-wijze, uitgeholde en zaamengevoude, puntige bladen voort, welke een reuk en smaak hebben, niet zeer ongelijk aan die van de ajuin,   chomel 2836 a[1773].",
privaat,,noun,,Smell source / object,,WNT,,"Het water, dat ineens door middel van een toestel met stortbak, bij reukeloozeprivaten, in den pot aanstroomt. ”Dit toestel moet voldoen aan eene dagelijksche strooming van 500 liter”,   v. houcke, Loodg. 736 [1902].; De waterbak voor reukelooze privaten wordt òf kolk, òf stortbak, òf spuibak genoemd,   v. houcke, Loodg. [1902].",
pyridine,,noun,,Smell source / object,,WNT,"Pyridine, een brandbare, zeer giftige vloeistof met scherpen reuk … wordt gebruikt als denatureeringsmiddel",,
raapzaadolie,,noun,,Smell source / object,,WNT,"Zaad van Brassica Rapa oleifera. Vroeger een van de belangrijkste oliezaden, tegenwoordig grootendeels verdrongen door het koolzaad ","Merkwaardig is de verschillende reuk, welke alle kool- en raapzaadoliën bij dergelijke bewerkingen (het zuiveren) van zich geven,   Ned. Handelsmag. 1003 a [1843].",
rat,,noun,rat,Smell source / object,,WNT,,"Die rat … nadert in een reuk van afval: zijn vale huid kleeft van oud ziek bloed,   smeding, R. Brand 125 [1929].",
reeuwzweet,,noun,,Smell source / object,,WNT,doodszweet.,"Aenmerct … hoe dat reeusweet ende die zeeueringe beginnen wt te breken, bewijsende dat die natuere verwonnen is,   v. d. putte, Sp. d. Chr. M. 173 r° [1550].; Als de dood nadert, de oogen verglazen en het reeuwzweet bevochtigt het aanzicht,   de bo [1873].",
